,mean,std,min,max,skew,kurtosis
Strategic_BI_Availability,3.645,0.955,1.0,5.0,-0.705,0.41
Strategic_BI_Alternatives,3.742,0.917,1.0,5.0,-0.739,0.528
Strategic_BI_Alignment,3.812,0.871,1.0,5.0,-0.566,0.492
Tactical_BI_Availability,3.71,0.901,1.0,5.0,-0.556,0.013
Tactical_BI_Resource_Alloc,3.769,0.829,1.0,5.0,-0.639,0.906
Tactical_BI_Data_Decisions,3.909,0.83,1.0,5.0,-0.859,1.395
Operational_BI_Availability,3.79,0.955,1.0,5.0,-0.734,0.316
Operational_BI_Agility,3.849,0.85,1.0,5.0,-0.559,0.387
Operational_BI_Quality,3.828,0.865,1.0,5.0,-0.772,0.858
BI_Improves_Decisions,3.849,0.863,1.0,5.0,-0.571,0.079
BI_Speed_Accuracy,3.774,0.966,1.0,5.0,-0.589,-0.088
BI_Data_Inform,3.935,0.88,1.0,5.0,-0.836,0.691
BI_Alternative_Solutions,3.71,0.895,1.0,5.0,-0.261,-0.444
BI_Cost_Barrier,3.522,1.041,1.0,5.0,-0.479,-0.211
BI_Training_Limit,3.763,0.963,1.0,5.0,-0.463,-0.375
BI_Flexibility_Issue,3.328,0.984,1.0,5.0,-0.182,-0.241
BI_Data_Integration_Issue,3.484,0.908,1.0,5.0,-0.28,-0.008
